27/05/2015 - 03:18:28 - INFO  - Started the key listener for the current desktop
27/05/2015 - 03:18:28 - INFO  - Started the key listener for the new desktop
27/05/2015 - 03:18:28 - INFO  - Started the new explorer process
27/05/2015 - 03:18:28 - INFO  - Disabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:18:28 - INFO  - Waiting for either LCTRL or ESC to be pressed
27/05/2015 - 03:18:32 - INFO  - Switched to the original desktop
27/05/2015 - 03:18:32 - INFO  - Switched to the new desktop
27/05/2015 - 03:18:33 - INFO  - Switched to the original desktop
27/05/2015 - 03:18:50 - INFO  - Detected ESC press
27/05/2015 - 03:18:50 - INFO  - Enabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:18:50 - INFO  - Closed the new thread desktop and returned to the original one
27/05/2015 - 03:18:50 - INFO  - Closed the key listener for the current desktop
27/05/2015 - 03:18:50 - INFO  - Closed the key listener for the new desktop
27/05/2015 - 03:18:50 - INFO  - Closed the new explorer process
27/05/2015 - 03:18:50 - INFO  - *** LOG CLOSED ***

27/05/2015 - 03:18:55 - INFO  - *** LOG INITIALIZED ***
27/05/2015 - 03:18:55 - INFO  - Created desktops
27/05/2015 - 03:18:55 - INFO  - Started the key listener for the current desktop
27/05/2015 - 03:18:55 - INFO  - Started the key listener for the new desktop
27/05/2015 - 03:18:55 - INFO  - Started the new explorer process
27/05/2015 - 03:18:55 - INFO  - Disabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:18:55 - INFO  - Waiting for either LCTRL or ESC to be pressed
27/05/2015 - 03:18:57 - INFO  - Switched to the original desktop
27/05/2015 - 03:19:22 - INFO  - Detected ESC press
27/05/2015 - 03:19:22 - INFO  - Enabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:19:22 - INFO  - Closed the new thread desktop and returned to the original one
27/05/2015 - 03:19:22 - INFO  - Closed the key listener for the current desktop
27/05/2015 - 03:19:22 - INFO  - Closed the key listener for the new desktop
27/05/2015 - 03:19:22 - INFO  - Closed the new explorer process
27/05/2015 - 03:19:22 - INFO  - *** LOG CLOSED ***

27/05/2015 - 03:19:30 - INFO  - *** LOG INITIALIZED ***
27/05/2015 - 03:19:30 - INFO  - Created desktops
27/05/2015 - 03:19:30 - INFO  - Started the key listener for the current desktop
27/05/2015 - 03:19:30 - INFO  - Started the key listener for the new desktop
27/05/2015 - 03:19:30 - INFO  - Started the new explorer process
27/05/2015 - 03:19:30 - INFO  - Disabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:19:30 - INFO  - Waiting for either LCTRL or ESC to be pressed
27/05/2015 - 03:19:44 - INFO  - Detected ESC press
27/05/2015 - 03:19:44 - INFO  - Enabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:19:44 - INFO  - Closed the new thread desktop and returned to the original one
27/05/2015 - 03:19:44 - INFO  - Closed the key listener for the current desktop
27/05/2015 - 03:19:44 - INFO  - Closed the key listener for the new desktop
27/05/2015 - 03:19:44 - INFO  - Closed the new explorer process
27/05/2015 - 03:19:44 - INFO  - *** LOG CLOSED ***

27/05/2015 - 03:21:37 - INFO  - *** LOG INITIALIZED ***
27/05/2015 - 03:21:37 - INFO  - Created desktops
27/05/2015 - 03:21:37 - INFO  - Started the key listener for the current desktop
27/05/2015 - 03:21:37 - INFO  - Started the key listener for the new desktop
27/05/2015 - 03:21:37 - INFO  - Started the new explorer process
27/05/2015 - 03:21:37 - INFO  - Disabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:21:37 - INFO  - Waiting for either LCTRL or ESC to be pressed
27/05/2015 - 03:21:47 - INFO  - Switched to the original desktop
27/05/2015 - 03:21:53 - INFO  - Switched to the new desktop
27/05/2015 - 03:21:53 - INFO  - Switched to the original desktop
27/05/2015 - 03:22:06 - INFO  - Detected ESC press
27/05/2015 - 03:22:06 - INFO  - Enabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:22:06 - INFO  - Closed the new thread desktop and returned to the original one
27/05/2015 - 03:22:06 - INFO  - Closed the key listener for the current desktop
27/05/2015 - 03:22:06 - INFO  - Closed the key listener for the new desktop
27/05/2015 - 03:22:06 - INFO  - Closed the new explorer process
27/05/2015 - 03:22:06 - INFO  - *** LOG CLOSED ***

27/05/2015 - 03:22:43 - INFO  - *** LOG INITIALIZED ***
27/05/2015 - 03:22:43 - INFO  - Created desktops
27/05/2015 - 03:22:43 - INFO  - Started the key listener for the current desktop
27/05/2015 - 03:22:43 - INFO  - Started the key listener for the new desktop
27/05/2015 - 03:22:43 - INFO  - Started the new explorer process
27/05/2015 - 03:22:43 - INFO  - Disabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:22:43 - INFO  - Waiting for either LCTRL or ESC to be pressed
27/05/2015 - 03:23:00 - INFO  - Switched to the original desktop
27/05/2015 - 03:23:01 - INFO  - Detected ESC press
27/05/2015 - 03:23:02 - INFO  - Enabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:23:02 - INFO  - Closed the new thread desktop and returned to the original one
27/05/2015 - 03:23:02 - INFO  - Closed the key listener for the current desktop
27/05/2015 - 03:23:02 - INFO  - Closed the key listener for the new desktop
27/05/2015 - 03:23:02 - INFO  - Closed the new explorer process
27/05/2015 - 03:23:02 - INFO  - *** LOG CLOSED ***

27/05/2015 - 03:25:23 - INFO  - *** LOG INITIALIZED ***
27/05/2015 - 03:25:23 - INFO  - Created desktops
27/05/2015 - 03:25:23 - INFO  - Started the key listener for the current desktop
27/05/2015 - 03:25:23 - INFO  - Started the key listener for the new desktop
27/05/2015 - 03:25:23 - INFO  - Started the new explorer process
27/05/2015 - 03:25:23 - INFO  - Disabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:25:23 - INFO  - Waiting for either LCTRL or ESC to be pressed
27/05/2015 - 03:25:39 - INFO  - Switched to the original desktop
27/05/2015 - 03:25:40 - INFO  - Detected ESC press
27/05/2015 - 03:25:40 - INFO  - Enabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:25:40 - INFO  - Closed the new thread desktop and returned to the original one
27/05/2015 - 03:25:40 - INFO  - Closed the key listener for the current desktop
27/05/2015 - 03:25:40 - INFO  - Closed the key listener for the new desktop
27/05/2015 - 03:25:40 - INFO  - Closed the new explorer process
27/05/2015 - 03:25:40 - INFO  - *** LOG CLOSED ***

28/05/2015 - 11:39:00 - INFO  - *** LOG INITIALIZED ***
28/05/2015 - 11:39:00 - INFO  - Created desktops
28/05/2015 - 11:39:00 - INFO  - Started the key listener for the current desktop
28/05/2015 - 11:39:00 - INFO  - Started the key listener for the new desktop
28/05/2015 - 11:39:00 - INFO  - Started the new explorer process
28/05/2015 - 11:39:00 - INFO  - Waiting for either LCTRL or ESC to be pressed
28/05/2015 - 11:39:07 - INFO  - Switched to the original desktop
28/05/2015 - 11:39:28 - INFO  - Detected ESC press
28/05/2015 - 11:39:28 - INFO  - Closed the new thread desktop and returned to the original one
28/05/2015 - 11:39:28 - INFO  - Closed the key listener for the current desktop
28/05/2015 - 11:39:28 - INFO  - Closed the key listener for the new desktop
28/05/2015 - 11:39:28 - ERROR - d:\projects\kyosk\kyosk\kyosklauncher.cpp:134 - Unable to close the new explorer process
28/05/2015 - 11:39:28 - INFO  - *** LOG CLOSED ***

02/06/2015 - 02:41:36 - INFO  - *** LOG INITIALIZED ***
02/06/2015 - 02:41:36 - INFO  - Created desktops
02/06/2015 - 02:41:36 - INFO  - Started the key listener for the current desktop
02/06/2015 - 02:41:36 - INFO  - Started the tray icon for the current desktop
02/06/2015 - 02:41:36 - INFO  - Started the key listener for the new desktop
02/06/2015 - 02:41:36 - INFO  - Started the tray icon for the new desktop
02/06/2015 - 02:41:37 - INFO  - Started the new explorer process
02/06/2015 - 02:41:37 - INFO  - Waiting for either LCTRL or ESC to be pressed
02/06/2015 - 02:41:59 - INFO  - Switched to the original desktop
02/06/2015 - 02:42:05 - INFO  - Detected ESC press
02/06/2015 - 02:42:05 - INFO  - Closed the new thread desktop and returned to the original one
02/06/2015 - 02:42:05 - INFO  - Closed the key listener for the current desktop
02/06/2015 - 02:42:05 - INFO  - Closed the key listener for the new desktop
02/06/2015 - 02:42:05 - INFO  - Closed the new explorer process
02/06/2015 - 02:42:05 - INFO  - *** LOG CLOSED ***

02/06/2015 - 02:43:17 - INFO  - *** LOG INITIALIZED ***
02/06/2015 - 02:43:17 - INFO  - Created desktops
02/06/2015 - 02:43:17 - INFO  - Started the key listener for the current desktop
02/06/2015 - 02:43:17 - INFO  - Started the tray icon for the current desktop
02/06/2015 - 02:43:17 - INFO  - Started the key listener for the new desktop
02/06/2015 - 02:43:17 - INFO  - Started the tray icon for the new desktop
02/06/2015 - 02:43:17 - INFO  - Started the new explorer process
02/06/2015 - 02:43:17 - INFO  - Waiting for either LCTRL or ESC to be pressed
02/06/2015 - 02:43:19 - INFO  - Switched to the original desktop
02/06/2015 - 02:43:25 - INFO  - Switched to the new desktop
02/06/2015 - 02:43:25 - INFO  - Switched to the original desktop
02/06/2015 - 02:43:26 - INFO  - Switched to the new desktop
02/06/2015 - 02:43:26 - INFO  - Switched to the original desktop
02/06/2015 - 02:43:30 - INFO  - Switched to the new desktop
02/06/2015 - 02:43:33 - INFO  - Switched to the original desktop
